ResponseId,state,empsta,weights,hcity,zip_code,urban,suburban,rural,ext_flooding_impact_wlb,flooding_imp_1,flooding_imp_2,flooding_imp_3,flooding_imp_4,flooding_imp_5,ext_flooding_cope,ext_flooding_likely_repeat,ext_flooding_affect,ext_flooding_lkly_normal_business,ext_flooding_lkly_stay_home,ext_flooding_lkly_seek_shelter,ext_flooding_lkly_social_connection,ext_flooding_lkly_leave_town,ext_flooding_lkly_supplies,ext_flooding_lkly_follow_officials,ext_flooding_lkly_comm_supports,ext_flooding_wfh,ext_flooding_car_travel,ext_flooding_walk_bike_mode,ext_flooding_transit_use,ext_flooding_stay_home,ext_flooding_stay_family_friends,ext_flooding_check_family_friends,ext_flooding_volunteer_community,CR,SE,PR,female,age_3150,age_5165,age_65p,age_cat,edu_bs,bs_grad,white,black,asian,hispanic_raw,hispanic_c,race_cat,in50,in50100,income_cat,hhsize1,hhsize2,hhsize_cat,child,dis_yes,work_out,tcom_no,sa_home,hhveh0,ac_raw,ac_c,PopDens_low,PopDens_medium,PopDens_high,PopDens_cat,EmpDens_low,EmpDens_medium,EmpDens_high,EmpDens_cat,NetworkDensity_low,NetworkDensity_medium,NetworkDensity_high,NetworkDensity_cat,Diversity_low,Diversity_medium,Diversity_high,Diversity_cat,TransitAccess_low,TransitAccess_medium,TransitAccess_high,TransitAccess_cat,NatWalkInd_very_low,NatWalkInd_low,NatWalkInd_high,NatWalkInd_very_high,NatWalkInd_cat
1002,5,4,0.057650275,0,95051,1,0,0,3,0,0,1,0,0,2,2,2,2,2,3,2,3,3,3,3,2,2,3,3,3,3,3,2,-0.50048744,1.703093252,-0.307230964,1,1,0,0,2,1,1,0,0,1,2,0,3,1,0,1,0,0,3,1,1,0,0,0,0,0,0,0,0,1,3,0,0,1,3,0,0,1,3,0,0,1,3,0,1,0,2,0,0,0,1,4
1005,7,2,0.468402617,0,6708,0,1,0,2,0,1,0,0,0,2,5,4,5,5,1,1,1,5,5,1,3,2,2,2,3,4,4,4,0.049873769,-1.976156857,0.997521716,0,0,1,0,3,0,0,1,0,0,2,0,4,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,3,0,1,0,2,0,0,1,3,1,0,0,1,0,1,0,2,0,0,1,0,3
1008,6,4,8.40E-05,0,81652,0,1,0,3,0,0,1,0,0,2,4,4,3,5,2,2,2,4,5,5,3,1,1,2,3,4,2,4,1.384192096,1.390938879,-0.951514326,1,0,0,1,4,0,0,1,0,0,2,0,4,1,0,1,0,1,2,0,0,0,0,1,0,-9,0,1,0,0,1,1,0,0,1,0,1,0,2,0,0,1,3,1,0,0,1,1,0,0,0,1
1018,5,4,0.068014371,1,95819,1,0,0,1,1,0,0,0,0,3,1,1,3,4,1,1,1,3,3,3,2,2,2,2,2,3,3,4,-0.165661801,-0.606177013,0.285475981,1,0,0,1,4,0,1,1,0,0,2,0,4,0,1,2,0,1,2,0,0,0,0,1,0,-9,0,0,0,1,3,0,0,1,3,1,0,0,1,0,1,0,2,0,1,0,2,0,0,0,1,4
1032,32,4,0.008043818,0,87020,0,1,0,1,1,0,0,0,0,1,5,5,5,5,1,2,1,4,4,4,2,2,2,2,3,4,3,4,0.571742667,-0.323860256,-0.319495987,1,0,1,0,3,0,0,1,0,0,2,0,4,0,1,2,0,0,3,0,0,0,0,1,0,-9,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,2,1,0,0,1,1,0,0,0,1
1039,49,4,0.009346843,0,98087,1,0,0,2,0,1,0,0,0,1,5,3,5,5,5,5,5,5,5,5,3,1,3,3,3,2,2,2,1.145475013,-0.949851677,1.159663694,1,0,0,1,4,0,0,0,0,0,2,0,5,0,1,2,0,1,2,0,0,0,0,0,0,-9,0,0,0,1,3,0,1,0,2,0,0,1,3,0,1,0,2,1,0,0,1,0,0,0,1,4
1063,49,4,0.043122803,0,98223,0,1,0,1,1,0,0,0,0,1,6,0,3,3,2,2,2,3,3,3,2,2,2,2,2,4,2,4,-0.019816826,-0.139163507,0.214837197,1,0,0,1,4,0,0,1,0,0,2,0,4,0,0,0,0,1,2,0,1,0,0,0,0,-9,0,1,0,0,1,1,0,0,1,0,1,0,2,1,0,0,1,1,0,0,1,1,0,0,0,1
1071,49,2,0.008297534,0,98404,0,1,0,3,0,0,1,0,0,3,4,3,3,3,3,3,3,3,3,3,3,3,3,1,1,2,2,2,0.589115756,0.716364764,0.02324533,0,1,0,0,2,0,0,1,0,0,2,0,4,1,0,1,0,0,3,1,0,0,0,1,0,-9,0,0,0,1,3,0,1,0,2,0,1,0,2,1,0,0,1,0,1,0,2,0,0,0,1,4
1072,3,2,0.017293193,1,85233,0,1,0,2,0,1,0,0,0,2,4,3,3,4,3,3,2,4,4,4,2,2,2,3,3,3,3,3,-0.293361699,0.261681683,0.437914056,1,0,1,0,3,1,1,1,0,0,2,0,4,0,1,2,0,1,2,0,0,0,1,0,0,-9,0,0,1,0,2,0,0,1,3,0,0,1,3,0,1,0,2,1,0,0,1,0,0,1,0,3
1077,3,4,0.007579327,0,85142,0,1,0,1,1,0,0,0,0,3,1,2,4,4,4,4,2,4,4,5,3,1,1,1,3,2,2,2,0.062998061,0.08741072,1.179900645,1,0,1,0,3,0,0,1,0,0,2,0,4,0,0,0,0,0,3,0,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,0,1,0,2,0,0,1,3,1,0,0,1,1,0,0,0,1
