event,activity,term,variable,value,se,p,n
cold,Car,coef,Diversity_medium,-0.08048114502869097,0.04977707339253884,0.10591463711181895,2374
cold,Car,coef,NatWalkInd_high,0.18120263575929688,0.06096829862496131,0.0029578999865116926,2374
cold,Car,coef,NatWalkInd_very_high,0.22838461952745356,0.05563665851540323,4.044363557328424e-05,2374
cold,Car,coef,SE,0.09616231972026916,0.028562644848061543,0.0007606892266471959,2374
cold,Car,coef,age_3150,-0.10850814727745485,0.07325013127648293,0.1385167296946317,2374
cold,Car,coef,age_5165,-0.23654038154394108,0.07705922104098374,0.0021435125347938973,2374
cold,Car,coef,age_65p,-0.2989300908502793,0.07603501377174178,8.442472898341419e-05,2374
cold,Car,coef,black,0.2274938475721319,0.0700959217449767,0.0011725905469826747,2374
cold,Car,coef,cold_imp_2,-0.046951198139472,0.06865928319662529,0.4940832515251887,2374
cold,Car,coef,cold_imp_3,-0.04632824354392538,0.07071381449397267,0.5123703817380687,2374
cold,Car,coef,cold_imp_4,0.035754041782719355,0.08493263600044022,0.6737774183849068,2374
cold,Car,coef,cold_imp_5,0.21347457571903428,0.10931212677796504,0.050832613052200805,2374
cold,Car,coef,dis_yes,0.039904580283442986,0.059843148525710314,0.5048874151243419,2374
cold,Car,threshold,threshold_1,-0.6100310285514661,,,2374
cold,Car,threshold,threshold_2,1.0240518744706721,,,2374
cold,Delivery,coef,CR,0.05927317241932398,0.02836139712944628,0.03662460231279813,2374
cold,Delivery,coef,EmpDens_medium,0.10046397711903018,0.049702504484463624,0.04324808472847646,2374
cold,Delivery,coef,NetworkDensity_high,-0.07443048195312169,0.050863795313140565,0.1433772942622287,2374
cold,Delivery,coef,PR,0.09973966546430482,0.029309724387746497,0.0006666132276856481,2374
cold,Delivery,coef,SE,0.06921990365608838,0.02896326780201644,0.016852026221687882,2374
cold,Delivery,coef,TransitAccess_high,0.23117131332005897,0.0740121717388705,0.0017876068289791153,2374
cold,Delivery,coef,age_65p,-0.22030725992359873,0.05612774799130779,8.669220000937369e-05,2374
cold,Delivery,coef,asian,-0.26888035074531486,0.1382167823547076,0.051732578217846596,2374
cold,Delivery,coef,child,0.232242092958761,0.05733371325784598,5.1063040972158204e-05,2374
cold,Delivery,coef,cold_imp_2,0.015210135858670499,0.06801558227316895,0.8230473783280683,2374
cold,Delivery,coef,cold_imp_3,-0.019261125529291004,0.07011695520514356,0.7835467537950516,2374
cold,Delivery,coef,cold_imp_4,0.016466517152004357,0.08452221927760496,0.8455348056870285,2374
cold,Delivery,coef,cold_imp_5,0.21806091737652958,0.10950704722685012,0.04644838279595538,2374
cold,Delivery,coef,dis_yes,0.08864138628862483,0.05945623976485613,0.13599623810610215,2374
cold,Delivery,threshold,threshold_1,-0.7891270421084505,,,2374
cold,Delivery,threshold,threshold_2,0.8038826345047952,,,2374
cold,Dine in,coef,NatWalkInd_high,0.16336585802966822,0.05748700903969735,0.0044861396412355465,2374
cold,Dine in,coef,NetworkDensity_medium,-0.0941990363908824,0.04937350931820748,0.05640592806791633,2374
cold,Dine in,coef,SE,0.12005957595303077,0.028410708278435958,2.3803366250516703e-05,2374
cold,Dine in,coef,age_65p,-0.18545970293234185,0.0539442562883666,0.0005860537838271803,2374
cold,Dine in,coef,black,0.3890459584660137,0.10283579249527083,0.0001548395026405873,2374
cold,Dine in,coef,cold_imp_2,-0.12279423825479095,0.06837777081170104,0.07252298628668383,2374
cold,Dine in,coef,cold_imp_3,-0.2342480565205846,0.0705222409573342,0.0008949662296894528,2374
cold,Dine in,coef,cold_imp_4,-0.1310524262496567,0.08481440478073278,0.1223058546737247,2374
cold,Dine in,coef,cold_imp_5,0.08881186771378027,0.10835727334300317,0.412432351030557,2374
cold,Dine in,coef,in50100,-0.19109692579308793,0.05190367589355479,0.00023162856709051143,2374
cold,Dine in,coef,white,0.2676226031283536,0.09061787237469582,0.003143868112527838,2374
cold,Dine in,threshold,threshold_1,-0.307222760100392,,,2374
cold,Dine in,threshold,threshold_2,1.2495839352886686,,,2374
cold,Home,coef,CR,0.06431058794514968,0.02841565164076651,0.02362274491902534,2434
cold,Home,coef,cold_imp_2,0.2829926240746217,0.06965116177009258,4.8446167291521954e-05,2434
cold,Home,coef,cold_imp_3,0.4301980279269427,0.0717144063915256,1.9882116784591025e-09,2434
cold,Home,coef,cold_imp_4,0.3059410943681653,0.08522519330243629,0.0003309363091227509,2434
cold,Home,coef,cold_imp_5,0.3977182340817741,0.11134058919830263,0.0003541481647306199,2434
cold,Home,coef,dis_yes,0.15780137455581741,0.06275154105712795,0.01191333097381284,2434
cold,Home,coef,in50100,0.06432464139643608,0.05367906879411918,0.2307929007147267,2434
cold,Home,threshold,threshold_1,-1.4190827774154275,,,2434
cold,Home,threshold,threshold_2,0.24622218513888194,,,2434
cold,Pick up,coef,NatWalkInd_high,0.07106591609399222,0.057051889018752695,0.21289787106268432,2374
