ResponseId,state,empsta,weights,hcity,zip_code,urban,suburban,rural,ext_heat_impact_wlb,heat_imp_1,heat_imp_2,heat_imp_3,heat_imp_4,heat_imp_5,ext_heat_cope,ext_heat_likely_repeat,ext_heat_affect,ext_heat_lkly_normal_business,ext_heat_lkly_stay_home,ext_heat_lkly_seek_shelter,ext_heat_lkly_social_connection,ext_heat_lkly_leave_town,ext_heat_lkly_supplies,ext_heat_lkly_follow_officials,ext_heat_lkly_comm_supports,ext_heat_indoor_restaurant,ext_heat_takeout_pickup,ext_heat_food_delivery,ext_heat_public_indoors,ext_heat_wfh,ext_heat_commute,ext_heat_car_travel,ext_heat_public_transit,ext_heat_stay_home,ext_heat_stay_family_friends,ext_heat_check_family_friends,ext_heat_volunteer_community,ext_heat_ac_equipped,CR,SE,PR,female,age_3150,age_5165,age_65p,age_cat,edu_bs,bs_grad,white,black,asian,hispanic_raw,hispanic_c,race_cat,in50,in50100,income_cat,hhsize1,hhsize2,hhsize_cat,child,dis_yes,work_out,tcom_no,sa_home,hhveh0,ac_raw,ac_c,PopDens_low,PopDens_medium,PopDens_high,PopDens_cat,EmpDens_low,EmpDens_medium,EmpDens_high,EmpDens_cat,NetworkDensity_low,NetworkDensity_medium,NetworkDensity_high,NetworkDensity_cat,Diversity_low,Diversity_medium,Diversity_high,Diversity_cat,TransitAccess_low,TransitAccess_medium,TransitAccess_high,TransitAccess_cat,NatWalkInd_very_low,NatWalkInd_low,NatWalkInd_high,NatWalkInd_very_high,NatWalkInd_cat
1002,5,4,0.057650275,0,95051,1,0,0,3,0,0,1,0,0,1,3,4,4,4,4,4,4,4,4,4,2,2,1,2,3,3,2,2,2,3,3,2,0,-0.50048744,1.703093252,-0.307230964,1,1,0,0,2,1,1,0,0,1,2,0,3,1,0,1,0,0,3,1,1,0,0,0,0,0,0,0,0,1,3,0,0,1,3,0,0,1,3,0,0,1,3,0,1,0,2,0,0,0,1,4
1003,34,4,0.200426179,0,27511,0,1,0,3,0,0,1,0,0,3,5,3,3,4,2,2,2,3,4,3,1,2,2,3,2,2,2,2,2,3,2,2,1,-0.261157732,-1.240921295,0.556773261,0,0,0,1,4,1,1,1,0,0,2,0,4,1,0,1,0,1,2,0,0,0,0,1,0,1,1,0,1,0,2,0,1,0,2,0,0,1,3,0,0,1,3,1,0,0,1,0,0,1,0,3
1004,10,2,0.626965505,1,33614,0,1,0,2,0,1,0,0,0,1,3,3,3,4,1,2,4,5,5,4,2,2,2,3,2,2,1,1,3,3,3,3,1,0.661520218,0.108639111,0.813131128,0,0,0,1,4,0,0,0,1,0,2,0,2,0,1,2,0,1,2,0,0,1,1,1,0,1,1,0,1,0,2,0,0,1,3,0,0,1,3,0,1,0,2,0,1,0,2,0,0,1,0,3
1005,7,2,0.468402617,0,6708,0,1,0,4,0,0,0,1,0,2,5,5,4,5,1,1,1,5,5,1,2,2,2,4,3,2,2,2,3,4,4,4,1,0.049873769,-1.976156857,0.997521716,0,0,1,0,3,0,0,1,0,0,2,0,4,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,3,0,1,0,2,0,0,1,3,1,0,0,1,0,1,0,2,0,0,1,0,3
1006,48,4,0.269793111,0,24439,0,0,1,2,0,1,0,0,0,5,5,3,4,4,1,1,1,4,4,2,2,2,2,4,2,2,2,2,2,4,4,4,1,0.611257856,-1.110460585,-1.813361955,1,1,0,0,2,0,0,1,0,0,2,0,4,1,0,1,0,0,3,0,1,0,0,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1
1007,42,4,0.410159583,0,29006,0,1,0,3,0,0,1,0,0,3,5,3,4,5,1,1,1,3,3,1,2,2,2,4,2,2,2,2,2,4,3,4,1,-0.138619524,-0.04440612,0.252712108,1,0,1,0,3,0,0,1,0,0,2,0,4,1,0,1,0,1,2,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1
1010,10,4,0.529310787,1,33617,1,0,0,3,0,0,1,0,0,2,5,3,4,5,1,4,1,5,5,5,2,1,2,1,2,2,2,2,2,3,4,3,1,0.712858679,0.446968073,-0.378590998,1,0,0,1,4,0,0,1,0,0,2,0,4,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,3,0,1,0,2,0,0,1,3,1,0,0,1,1,0,0,1,0,0,1,0,3
1011,31,4,0.484656137,0,8344,0,1,0,5,0,0,0,0,1,5,4,5,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,-0.849085224,0.243209007,-1.040977825,1,1,0,0,2,0,0,0,1,0,2,0,2,1,0,1,1,0,1,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,3,1,0,0,1,0,1,0,0,2
1012,50,4,4.235646365,0,26301,0,1,0,1,1,0,0,0,0,5,6,0,3,3,3,3,3,3,3,3,2,2,2,4,2,2,2,2,2,4,4,4,1,-0.849085224,0.243209007,-1.040977825,1,0,1,0,3,0,0,1,0,0,2,0,4,1,0,1,1,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,2,0,0,1,3,0,0,1,3,1,0,0,1,0,1,0,0,2
1013,38,4,4.72E-06,0,97214,1,0,0,3,0,0,1,0,0,3,5,3,2,4,2,2,1,3,4,4,1,1,1,2,2,2,2,1,3,3,2,3,1,-0.264769143,-0.303906102,-0.184036962,1,0,1,0,3,0,0,1,0,0,2,0,4,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,3,0,0,1,3,0,1,0,2,0,0,1,3,0,0,1,3,0,0,0,1,4
