ResponseId,state,empsta,weights,hcity,zip_code,urban,suburban,rural,ext_powerout_impact_wlb,powerout_imp_1,powerout_imp_2,powerout_imp_3,powerout_imp_4,powerout_imp_5,ext_powerout_cope,ext_powerout_likely_repeat,ext_powerout_affect,ext_powerout_lkly_normal_business,ext_powerout_lkly_stay_home,ext_powerout_lkly_seek_shelter,ext_powerout_lkly_social_connection,ext_powerout_lkly_leave_town,ext_powerout_lkly_supplies,ext_powerout_lkly_follow_officials,ext_powerout_lkly_comm_supports,ext_powerout_eating_restaurant,ext_powerout_indoor_restaurant,ext_powerout_food_delivery,ext_powerout_takeout_pickup,ext_powerout_car_travel,ext_powerout_walk_bike_mode,ext_powerout_transit_use,ext_powerout_stay_home,ext_powerout_stay_family_friends,ext_powerout_check_family_friends,ext_powerout_volunteer_community,CR,SE,PR,female,age_3150,age_5165,age_65p,age_cat,edu_bs,bs_grad,white,black,asian,hispanic_raw,hispanic_c,race_cat,in50,in50100,income_cat,hhsize1,hhsize2,hhsize_cat,child,dis_yes,work_out,tcom_no,sa_home,hhveh0,ac_raw,ac_c,PopDens_low,PopDens_medium,PopDens_high,PopDens_cat,EmpDens_low,EmpDens_medium,EmpDens_high,EmpDens_cat,NetworkDensity_low,NetworkDensity_medium,NetworkDensity_high,NetworkDensity_cat,Diversity_low,Diversity_medium,Diversity_high,Diversity_cat,TransitAccess_low,TransitAccess_medium,TransitAccess_high,TransitAccess_cat,NatWalkInd_very_low,NatWalkInd_low,NatWalkInd_high,NatWalkInd_very_high,NatWalkInd_cat
1001,26,4,1.080766134,0,64011,0,0,1,2,0,1,0,0,0,2,3,3,2,5,3,2,2,4,4,2,2,2,2,2,3,2,2,3,4,3,4,-0.583507714,-0.866495326,-1.476662817,1,1,0,0,2,0,0,1,0,0,2,0,4,1,0,1,0,1,2,0,1,0,0,0,1,-9,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1
1004,10,2,0.626965505,1,33614,0,1,0,2,0,1,0,0,0,1,3,2,3,4,1,1,3,5,4,4,1,1,3,1,1,1,1,2,3,3,2,0.661520218,0.108639111,0.813131128,0,0,0,1,4,0,0,0,1,0,2,0,2,0,1,2,0,1,2,0,0,1,1,1,0,1,1,0,1,0,2,0,0,1,3,0,0,1,3,0,1,0,2,0,1,0,2,0,0,1,0,3
1008,6,4,8.40E-05,0,81652,0,1,0,1,1,0,0,0,0,1,5,1,5,2,1,2,1,1,5,5,2,2,2,2,2,2,2,2,4,2,3,1.384192096,1.390938879,-0.951514326,1,0,0,1,4,0,0,1,0,0,2,0,4,1,0,1,0,1,2,0,0,0,0,1,0,-9,0,1,0,0,1,1,0,0,1,0,1,0,2,0,0,1,3,1,0,0,1,1,0,0,0,1
1010,10,4,0.529310787,1,33617,1,0,0,3,0,0,1,0,0,2,5,4,4,5,3,4,1,5,5,5,1,2,2,1,1,1,1,3,2,2,2,0.712858679,0.446968073,-0.378590998,1,0,0,1,4,0,0,1,0,0,2,0,4,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,3,0,1,0,2,0,0,1,3,1,0,0,1,1,0,0,1,0,0,1,0,3
1011,31,4,0.484656137,0,8344,0,1,0,4,0,0,0,1,0,4,4,5,2,2,4,4,4,3,3,3,1,1,1,1,1,1,1,1,1,1,1,-0.849085224,0.243209007,-1.040977825,1,1,0,0,2,0,0,0,1,0,2,0,2,1,0,1,1,0,1,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,3,1,0,0,1,0,1,0,0,2
1013,38,4,4.72E-06,0,97214,1,0,0,1,1,0,0,0,0,1,4,2,4,3,2,2,1,3,4,4,1,1,1,1,2,2,2,2,3,2,3,-0.264769143,-0.303906102,-0.184036962,1,0,1,0,3,0,0,1,0,0,2,0,4,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,3,0,0,1,3,0,1,0,2,0,0,1,3,0,0,1,3,0,0,0,1,4
1014,38,4,1.22E-08,0,97470,0,0,1,2,0,1,0,0,0,3,3,2,3,3,3,3,2,3,4,3,2,2,2,2,2,2,2,2,3,3,4,-0.630387057,-1.109210958,-0.529074917,1,0,0,0,1,0,0,1,1,0,2,0,2,1,0,1,1,0,1,0,1,0,0,0,1,-9,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1
1015,51,2,0.559583118,0,53406,0,1,0,1,1,0,0,0,0,2,2,3,4,4,2,5,5,4,5,3,2,2,2,2,2,2,2,2,3,2,2,1.031601796,-0.409149708,-0.083535192,1,0,0,1,4,1,1,1,0,0,2,0,4,1,0,1,1,0,1,0,0,0,0,1,0,-9,0,0,1,0,2,0,1,0,2,0,1,0,2,0,1,0,2,0,1,0,2,0,0,1,0,3
1018,5,4,0.068014371,1,95819,1,0,0,1,1,0,0,0,0,2,2,2,2,4,1,3,3,4,4,3,2,3,2,2,2,2,2,2,3,3,3,-0.165661801,-0.606177013,0.285475981,1,0,0,1,4,0,1,1,0,0,2,0,4,0,1,2,0,1,2,0,0,0,0,1,0,-9,0,0,0,1,3,0,0,1,3,1,0,0,1,0,1,0,2,0,1,0,2,0,0,0,1,4
1019,5,4,0.000285073,0,91344,0,1,0,1,1,0,0,0,0,1,5,3,3,5,1,1,1,3,5,4,2,2,2,2,1,3,1,3,1,2,2,0.030864806,0.324282572,0.012527591,1,0,0,1,4,1,1,1,0,0,2,0,4,1,0,1,1,0,1,0,0,0,0,1,0,-9,0,0,1,0,2,0,1,0,2,0,0,1,3,0,0,1,3,1,0,0,1,0,0,1,0,3
1020,44,4,0.787038468,0,37321,0,1,0,3,0,0,1,0,0,3,3,3,3,3,3,3,2,4,4,3,2,2,2,2,2,2,2,2,4,3,4,-0.701412941,-0.293133518,-1.61362034,1,0,1,0,3,0,0,1,0,0,2,0,4,1,0,1,1,0,1,0,0,0,0,0,1,-9,0,1,0,0,1,1,0,0,1,0,1,0,2,0,0,1,3,1,0,0,1,1,0,0,0,1
1021,18,4,0.809581264,0,42071,0,1,0,2,0,1,0,0,0,1,5,3,3,4,1,5,2,4,4,4,2,2,2,2,2,2,2,2,3,3,3,0.872350491,-0.904382883,-1.202029631,1,0,0,1,4,0,0,1,0,0,2,0,4,1,0,1,1,0,1,0,0,0,0,0,0,-9,0,1,0,0,1,0,1,0,2,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1
1024,34,4,4.104565226,0,28540,0,1,0,4,0,0,0,1,0,2,3,3,2,4,4,3,4,4,4,4,1,1,2,2,1,1,2,3,1,1,1,-1.192403853,-0.530792568,-1.388250633,1,0,1,0,3,0,0,0,1,0,2,0,2,1,0,1,1,0,1,0,1,0,0,1,1,-9,0,1,0,0,1,0,1,0,2,0,1,0,2,0,0,1,3,1,0,0,1,1,0,0,0,1
1026,48,4,1.487663036,0,23464,0,1,0,2,0,1,0,0,0,1,1,3,2,4,1,1,1,4,4,4,2,2,2,2,2,2,2,2,3,3,3,-0.382794997,1.410011597,-0.04942656,1,0,1,0,3,0,1,1,0,0,2,0,4,0,1,2,0,1,2,0,0,0,0,1,0,-9,0,0,0,1,3,0,1,0,2,0,0,1,3,1,0,0,1,0,1,0,2,0,0,1,0,3
1027,39,4,0.616707123,0,18302,0,1,0,1,1,0,0,0,0,1,3,3,4,5,1,4,1,3,4,2,2,2,2,2,2,2,2,2,3,3,4,0.326877918,0.879878416,-0.427716789,1,0,0,1,4,0,0,1,0,0,2,0,4,0,1,2,0,0,3,0,0,0,0,1,0,-9,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1
1030,45,4,4.28473235,1,77505,0,1,0,2,0,1,0,0,0,2,4,1,4,5,1,1,1,1,5,1,1,2,1,1,2,2,2,2,4,2,4,0.427274728,-0.137876904,0.787080829,1,0,0,1,4,0,0,1,0,0,2,0,4,0,0,3,0,1,2,0,0,0,0,1,0,1,1,0,1,0,2,0,1,0,2,0,0,1,3,0,1,0,2,1,0,0,1,0,1,0,0,2
