ResponseId,state,empsta,weights,hcity,zip_code,urban,suburban,rural,ext_cold_impact_wlb,cold_imp_1,cold_imp_2,cold_imp_3,cold_imp_4,cold_imp_5,ext_cold_cope,ext_cold_likely_repeat,ext_cold_affect,ext_cold_lkly_normal_business,ext_cold_lkly_stay_home,ext_cold_lkly_seek_shelter,ext_cold_lkly_social_connection,ext_cold_lkly_leave_town,ext_cold_lkly_supplies,ext_cold_lkly_follow_officials,ext_cold_lkly_comm_supports,ext_cold_indoor_restaurant,ext_cold_takeout_pickup,ext_cold_food_delivery,ext_cold_public_indoors,ext_cold_wfh,ext_cold_commute,ext_cold_car_travel,ext_cold_transit_use,ext_cold_stay_home,ext_cold_stay_family_friends,ext_cold_check_family_friends,ext_cold_volunteer_community,CR,SE,PR,female,age_3150,age_5165,age_65p,age_cat,edu_bs,bs_grad,white,black,asian,hispanic_raw,hispanic_c,race_cat,in50,in50100,income_cat,hhsize1,hhsize2,hhsize_cat,child,dis_yes,work_out,tcom_no,sa_home,hhveh0,ac_raw,ac_c,PopDens_low,PopDens_medium,PopDens_high,PopDens_cat,EmpDens_low,EmpDens_medium,EmpDens_high,EmpDens_cat,NetworkDensity_low,NetworkDensity_medium,NetworkDensity_high,NetworkDensity_cat,Diversity_low,Diversity_medium,Diversity_high,Diversity_cat,TransitAccess_low,TransitAccess_medium,TransitAccess_high,TransitAccess_cat,NatWalkInd_very_low,NatWalkInd_low,NatWalkInd_high,NatWalkInd_very_high,NatWalkInd_cat
1001,26,4,1.080766134,0,64011,0,0,1,2,0,1,0,0,0,2,5,2,4,5,1,1,1,4,4,1,2,2,2,2,2,2,1,2,3,4,3,4,-0.583507714,-0.866495326,-1.476662817,1,1,0,0,2,0,0,1,0,0,2,0,4,1,0,1,0,1,2,0,1,0,0,0,1,-9,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1
1003,34,4,0.200426179,0,27511,0,1,0,2,0,1,0,0,0,1,3,1,4,4,2,2,2,4,4,3,2,2,2,4,2,2,2,2,2,3,3,2,-0.261157732,-1.240921295,0.556773261,0,0,0,1,4,1,1,1,0,0,2,0,4,1,0,1,0,1,2,0,0,0,0,1,0,1,1,0,1,0,2,0,1,0,2,0,0,1,3,0,0,1,3,1,0,0,1,0,0,1,0,3
1006,48,4,0.269793111,0,24439,0,0,1,2,0,1,0,0,0,3,5,4,4,4,2,2,2,4,4,4,1,1,2,4,2,2,2,2,2,4,4,4,0.611257856,-1.110460585,-1.813361955,1,1,0,0,2,0,0,1,0,0,2,0,4,1,0,1,0,0,3,0,1,0,0,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1
1009,26,4,0.282377914,0,63501,0,1,0,1,1,0,0,0,0,1,5,4,4,5,1,1,1,5,5,4,1,2,3,3,2,2,1,2,2,3,2,3,0.266949556,0.587818555,0.632522653,1,0,0,1,4,0,0,1,0,0,2,0,4,1,0,1,1,0,1,0,0,0,0,0,0,-9,0,0,1,0,2,0,1,0,2,1,0,0,1,0,0,1,3,1,0,0,1,0,1,0,0,2
1014,38,4,1.22E-08,0,97470,0,0,1,2,0,1,0,0,0,3,3,3,3,3,3,3,3,2,4,3,2,2,2,4,2,2,2,2,2,3,3,3,-0.630387057,-1.109210958,-0.529074917,1,0,0,0,1,0,0,1,1,0,2,0,2,1,0,1,1,0,1,0,1,0,0,0,1,-9,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1
1015,51,2,0.559583118,0,53406,0,1,0,3,0,0,1,0,0,3,5,3,3,5,2,2,3,5,5,3,1,2,2,4,3,2,2,2,3,3,2,3,1.031601796,-0.409149708,-0.083535192,1,0,0,1,4,1,1,1,0,0,2,0,4,1,0,1,1,0,1,0,0,0,0,1,0,-9,0,0,1,0,2,0,1,0,2,0,1,0,2,0,1,0,2,0,1,0,2,0,0,1,0,3
1016,39,2,0.461104918,0,16510,0,1,0,2,0,1,0,0,0,1,5,3,5,5,1,1,1,3,5,1,2,2,2,4,2,2,2,2,2,4,3,4,1.283706444,-0.365564105,1.077534827,1,1,0,0,2,0,0,1,0,0,2,0,4,1,0,1,0,0,3,0,0,0,1,0,1,1,1,0,1,0,2,0,1,0,2,0,1,0,2,0,1,0,2,1,0,0,1,0,0,1,0,3
1017,1,1,1.679072662,0,36870,0,1,0,2,0,1,0,0,0,2,3,5,5,4,4,4,4,4,3,4,2,2,2,2,3,3,2,2,2,3,3,3,-0.232175026,0.718103637,0.460953979,1,0,1,0,3,0,0,0,1,0,2,0,2,1,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,0,1,0,2,1,0,0,1,1,0,0,1,1,0,0,0,1
1019,5,4,0.000285073,0,91344,0,1,0,2,0,1,0,0,0,1,3,3,5,5,1,1,1,4,5,5,2,2,2,4,2,2,1,2,3,4,2,2,0.030864806,0.324282572,0.012527591,1,0,0,1,4,1,1,1,0,0,2,0,4,1,0,1,1,0,1,0,0,0,0,1,0,-9,0,0,1,0,2,0,1,0,2,0,0,1,3,0,0,1,3,1,0,0,1,0,0,1,0,3
1020,44,4,0.787038468,0,37321,0,1,0,2,0,1,0,0,0,3,3,2,3,5,2,2,2,4,4,3,1,1,2,4,2,2,2,2,3,3,3,4,-0.701412941,-0.293133518,-1.61362034,1,0,1,0,3,0,0,1,0,0,2,0,4,1,0,1,1,0,1,0,0,0,0,0,1,-9,0,1,0,0,1,1,0,0,1,0,1,0,2,0,0,1,3,1,0,0,1,1,0,0,0,1
1021,18,4,0.809581264,0,42071,0,1,0,1,1,0,0,0,0,1,5,4,5,5,1,5,2,4,5,4,2,2,2,4,2,2,2,2,2,3,3,3,0.872350491,-0.904382883,-1.202029631,1,0,0,1,4,0,0,1,0,0,2,0,4,1,0,1,1,0,1,0,0,0,0,0,0,-9,0,1,0,0,1,0,1,0,2,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1
1028,39,4,1.982650153,0,15120,1,0,0,2,0,1,0,0,0,2,5,1,4,5,4,5,1,4,5,5,2,2,2,3,2,2,2,1,3,3,2,4,0.436381491,-1.164875867,-0.687405826,1,0,1,0,3,0,0,1,0,0,2,0,4,1,0,1,1,0,1,0,1,0,0,0,1,1,1,0,0,1,3,0,0,1,3,1,0,0,1,0,1,0,2,1,0,0,1,0,0,0,1,4
1029,46,4,8.40E-05,0,84088,0,1,0,3,0,0,1,0,0,3,5,5,2,5,1,1,1,5,5,4,1,1,3,1,2,2,3,2,3,3,2,2,0.589318409,1.419674472,0.127813904,1,0,0,1,4,0,0,1,0,0,2,0,4,1,0,1,0,1,2,0,0,0,0,1,0,1,1,0,1,0,2,0,0,1,3,0,1,0,2,0,0,1,3,0,0,1,3,0,0,0,1,4
1031,18,4,0.1682515,0,40215,0,1,0,5,0,0,0,0,1,2,5,5,4,5,1,1,1,5,5,5,2,2,2,2,2,2,3,3,3,1,2,2,1.387478301,-0.57668298,0.76078856,1,0,0,1,4,0,0,0,1,0,2,0,2,1,0,1,1,0,1,0,0,0,0,0,1,-9,0,0,0,1,3,1,0,0,1,0,0,1,3,1,0,0,1,1,0,0,1,0,0,0,1,4
1036,49,4,0.061059046,0,98042,0,1,0,1,1,0,0,0,0,1,3,1,4,3,2,1,1,3,4,3,2,2,2,4,2,2,2,2,2,4,3,3,0.676311125,-0.34666752,0.935574127,0,0,0,1,4,0,1,1,0,0,2,0,4,0,1,2,1,0,1,0,0,0,0,1,0,-9,0,0,1,0,2,1,0,0,1,0,1,0,2,1,0,0,1,1,0,0,1,1,0,0,0,1
1040,49,2,0.013296319,0,98375,0,1,0,1,1,0,0,0,0,1,4,3,4,3,1,1,1,3,3,3,1,1,1,1,2,2,1,3,3,2,2,2,-2.012601179,0.004688332,-0.150620629,0,1,0,0,2,0,1,1,0,0,2,0,4,0,1,2,0,0,3,0,0,0,1,1,0,1,1,0,1,0,2,0,1,0,2,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,2
1041,49,2,0.022453993,0,98310,0,1,0,3,0,0,1,0,0,3,5,3,4,5,1,2,1,3,5,5,2,2,2,3,2,2,2,2,2,3,3,3,0.099803405,-0.180163475,0.317428595,1,1,0,0,2,0,0,1,0,0,2,0,4,1,0,1,1,0,1,0,0,0,1,0,0,-9,0,0,1,0,2,0,1,0,2,1,0,0,1,0,1,0,2,0,1,0,2,0,0,0,1,4
